Date,Entity_Name,Entity_Type,Weather_Condition,College_Exam_Season,Local_Event,Promo_Active,Recent_Review_Avg,Expected_Footfall
2024-01-11,Hostel B,Hostel,Cloudy,False,None,False,,45
2024-01-11,Spice Grill,Restaurant,Heatwave,False,None,False,4.6,188
2024-01-11,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,81
2024-01-12,Bistro 1,Restaurant,Cloudy,False,None,True,4.6,149
2024-01-12,Hostel B,Hostel,Clear,False,None,False,,36
2024-01-12,Spice Grill,Restaurant,Clear,False,None,True,3.7,192
2024-01-12,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,113
2024-01-13,Bistro 1,Restaurant,Clear,False,Concert,True,3.8,225
2024-01-13,Hostel B,Hostel,Clear,False,None,False,,63
2024-01-13,Spice Grill,Restaurant,Clear,False,None,True,4.7,445
2024-01-13,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,85
2024-01-14,Bistro 1,Restaurant,Light Rain,False,None,True,3.8,162
2024-01-14,Hostel B,Hostel,Clear,False,None,False,,31
2024-01-14,Spice Grill,Restaurant,Cloudy,False,None,True,3.9,304
2024-01-14,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,77
2024-01-15,Bistro 1,Restaurant,Light Rain,False,None,True,4.0,129
2024-01-15,Hostel B,Hostel,Clear,False,None,False,,42
2024-01-15,Spice Grill,Restaurant,Clear,False,None,True,3.7,223
2024-01-15,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,91
2024-01-16,Bistro 1,Restaurant,Heatwave,False,None,True,4.6,180
2024-01-16,Hostel B,Hostel,Clear,False,None,False,,29
2024-01-16,Spice Grill,Restaurant,Clear,False,None,True,3.5,208
2024-01-16,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,63
2024-01-17,Bistro 1,Restaurant,Light Rain,False,Local Festival,False,3.7,169
2024-01-17,Hostel B,Hostel,Cloudy,False,None,False,,46
2024-01-17,Spice Grill,Restaurant,Clear,False,None,True,3.6,193
2024-01-17,UEM Kolkata Hostel,Hostel,Clear,False,Concert,False,,61
2024-01-18,Bistro 1,Restaurant,Clear,False,None,False,4.8,124
2024-01-18,Hostel B,Hostel,Cloudy,False,None,False,,61
2024-01-18,Spice Grill,Restaurant,Clear,False,Sports Match,False,3.6,279
2024-01-18,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,101
2024-01-19,Bistro 1,Restaurant,Clear,False,None,True,4.2,155
2024-01-19,Hostel B,Hostel,Clear,False,Local Festival,False,,44
2024-01-19,Spice Grill,Restaurant,Cloudy,False,None,True,4.7,291
2024-01-19,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,114
2024-01-20,Bistro 1,Restaurant,Clear,False,Sports Match,True,4.3,340
2024-01-20,Hostel B,Hostel,Cloudy,False,None,False,,27
2024-01-20,Spice Grill,Restaurant,Clear,False,None,False,4.2,310
2024-01-20,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,63
2024-01-21,Bistro 1,Restaurant,Heavy Rain,False,None,True,4.4,115
2024-01-21,Hostel B,Hostel,Clear,False,None,False,,41
2024-01-21,Spice Grill,Restaurant,Clear,False,None,True,4.9,380
2024-01-21,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,73
2024-01-22,Bistro 1,Restaurant,Light Rain,False,None,True,4.3,168
2024-01-22,Hostel B,Hostel,Clear,False,None,False,,57
2024-01-22,Spice Grill,Restaurant,Clear,False,None,True,4.5,316
2024-01-22,UEM Kolkata Hostel,Hostel,Clear,False,Concert,False,,104
2024-01-23,Bistro 1,Restaurant,Heatwave,False,None,False,3.7,121
2024-01-23,Hostel B,Hostel,Cloudy,False,None,False,,59
2024-01-23,Spice Grill,Restaurant,Cloudy,False,None,True,4.8,292
2024-01-23,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,100
2024-01-24,Bistro 1,Restaurant,Clear,False,None,True,4.8,192
2024-01-24,Hostel B,Hostel,Cloudy,False,None,False,,35
2024-01-24,Spice Grill,Restaurant,Clear,False,Concert,True,4.1,316
2024-01-24,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,85
2024-01-25,Bistro 1,Restaurant,Light Rain,False,None,False,4.3,108
2024-01-25,Hostel B,Hostel,Light Rain,False,None,False,,39
2024-01-25,Spice Grill,Restaurant,Clear,False,None,False,3.5,237
2024-01-25,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,106
2024-01-26,Bistro 1,Restaurant,Clear,False,None,False,4.7,114
2024-01-26,Hostel B,Hostel,Heatwave,False,None,False,,47
2024-01-26,Spice Grill,Restaurant,Clear,False,None,False,4.6,232
2024-01-26,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,109
2024-01-27,Bistro 1,Restaurant,Light Rain,False,None,False,3.6,154
2024-01-27,Hostel B,Hostel,Clear,False,None,False,,58
2024-01-27,Spice Grill,Restaurant,Heatwave,False,None,False,4.3,268
2024-01-27,UEM Kolkata Hostel,Hostel,Heatwave,False,Local Festival,False,,96
2024-01-28,Bistro 1,Restaurant,Light Rain,False,Sports Match,False,4.6,220
2024-01-28,Hostel B,Hostel,Cloudy,False,Local Festival,False,,42
2024-01-28,Spice Grill,Restaurant,Heavy Rain,False,None,False,4.4,108
2024-01-28,UEM Kolkata Hostel,Hostel,Cloudy,False,Concert,False,,80
2024-01-29,Bistro 1,Restaurant,Clear,False,None,False,4.2,111
2024-01-29,Hostel B,Hostel,Clear,False,Concert,False,,42
2024-01-29,Spice Grill,Restaurant,Clear,False,None,True,3.6,210
2024-01-29,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,78
2024-01-30,Bistro 1,Restaurant,Light Rain,False,None,False,4.7,116
2024-01-30,Hostel B,Hostel,Clear,False,Concert,False,,42
2024-01-30,Spice Grill,Restaurant,Clear,False,Sports Match,False,4.7,241
2024-01-30,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,112
2024-01-31,Bistro 1,Restaurant,Cloudy,False,Sports Match,False,3.8,165
2024-01-31,Hostel B,Hostel,Clear,False,None,False,,52
2024-01-31,Spice Grill,Restaurant,Clear,False,None,True,3.9,219
2024-01-31,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,105
2024-02-01,Bistro 1,Restaurant,Clear,False,None,True,3.5,114
2024-02-01,Hostel B,Hostel,Clear,False,None,False,,152
2024-02-01,Spice Grill,Restaurant,Clear,False,None,True,3.8,221
2024-02-01,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,317
2024-02-02,Bistro 1,Restaurant,Light Rain,False,Local Festival,True,4.2,208
2024-02-02,Hostel B,Hostel,Clear,False,None,False,,148
2024-02-02,Spice Grill,Restaurant,Clear,False,None,False,4.5,198
2024-02-02,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,294
2024-02-03,Bistro 1,Restaurant,Clear,False,None,False,3.9,175
2024-02-03,Hostel B,Hostel,Light Rain,False,None,False,,139
2024-02-03,Spice Grill,Restaurant,Light Rain,False,None,False,4.6,257
2024-02-03,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,303
2024-02-04,Bistro 1,Restaurant,Cloudy,False,None,False,3.6,140
2024-02-04,Hostel B,Hostel,Clear,False,None,False,,135
2024-02-04,Spice Grill,Restaurant,Heavy Rain,False,None,False,4.7,135
2024-02-04,UEM Kolkata Hostel,Hostel,Clear,False,Sports Match,False,,280
2024-02-05,Bistro 1,Restaurant,Clear,False,Local Festival,True,4.8,224
2024-02-05,Hostel B,Hostel,Light Rain,False,None,False,,151
2024-02-05,Spice Grill,Restaurant,Cloudy,False,None,False,4.1,194
2024-02-05,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,308
2024-02-06,Bistro 1,Restaurant,Clear,False,None,True,4.7,203
2024-02-06,Hostel B,Hostel,Clear,False,None,False,,154
2024-02-06,Spice Grill,Restaurant,Clear,False,None,False,4.3,211
2024-02-06,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,309
2024-02-07,Bistro 1,Restaurant,Clear,False,Local Festival,True,3.6,189
2024-02-07,Hostel B,Hostel,Clear,False,None,False,,158
2024-02-07,Spice Grill,Restaurant,Clear,False,None,True,3.8,189
2024-02-07,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,290
2024-02-08,Bistro 1,Restaurant,Cloudy,False,None,True,4.3,171
2024-02-08,Hostel B,Hostel,Clear,False,None,False,,135
2024-02-08,Spice Grill,Restaurant,Heatwave,False,None,True,4.0,182
2024-02-08,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,303
2024-02-09,Bistro 1,Restaurant,Clear,False,None,False,4.2,118
2024-02-09,Hostel B,Hostel,Light Rain,False,None,False,,148
2024-02-09,Spice Grill,Restaurant,Cloudy,False,None,False,3.9,218
2024-02-09,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,326
2024-02-10,Bistro 1,Restaurant,Cloudy,False,None,False,4.8,153
2024-02-10,Hostel B,Hostel,Cloudy,False,None,False,,161
2024-02-10,Spice Grill,Restaurant,Clear,False,None,False,3.5,286
2024-02-10,UEM Kolkata Hostel,Hostel,Heavy Rain,False,None,False,,304
2024-02-11,Bistro 1,Restaurant,Heatwave,False,None,True,4.9,231
2024-02-11,Hostel B,Hostel,Heatwave,False,None,False,,164
2024-02-11,Spice Grill,Restaurant,Heatwave,False,Local Festival,True,4.0,342
2024-02-11,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,285
2024-02-12,Bistro 1,Restaurant,Cloudy,False,None,True,4.7,182
2024-02-12,Hostel B,Hostel,Light Rain,False,None,False,,140
2024-02-12,Spice Grill,Restaurant,Heatwave,False,Sports Match,False,3.8,272
2024-02-12,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,289
2024-02-13,Bistro 1,Restaurant,Cloudy,False,None,True,4.0,124
2024-02-13,Hostel B,Hostel,Clear,False,None,False,,136
2024-02-13,Spice Grill,Restaurant,Clear,False,None,True,4.8,335
2024-02-13,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,302
2024-02-14,Bistro 1,Restaurant,Clear,False,None,False,4.6,132
2024-02-14,Hostel B,Hostel,Heatwave,False,None,False,,158
2024-02-14,Spice Grill,Restaurant,Cloudy,False,None,True,3.6,217
2024-02-14,UEM Kolkata Hostel,Hostel,Heavy Rain,False,None,False,,345
2024-02-15,Bistro 1,Restaurant,Cloudy,False,None,True,3.6,114
2024-02-15,Hostel B,Hostel,Light Rain,False,Local Festival,False,,35
2024-02-15,Spice Grill,Restaurant,Clear,False,None,True,4.1,233
2024-02-15,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,312
2024-02-16,Bistro 1,Restaurant,Light Rain,False,None,True,4.7,175
2024-02-16,Hostel B,Hostel,Clear,False,None,False,,155
2024-02-16,Spice Grill,Restaurant,Cloudy,False,None,False,3.9,209
2024-02-16,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,280
2024-02-17,Bistro 1,Restaurant,Clear,False,None,False,4.2,150
2024-02-17,Hostel B,Hostel,Cloudy,False,None,False,,161
2024-02-17,Spice Grill,Restaurant,Clear,False,None,True,4.3,390
2024-02-17,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,305
2024-02-18,Bistro 1,Restaurant,Clear,False,None,False,3.7,173
2024-02-18,Hostel B,Hostel,Light Rain,False,Concert,False,,156
2024-02-18,Spice Grill,Restaurant,Cloudy,False,None,True,4.8,407
2024-02-18,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,303
2024-02-19,Bistro 1,Restaurant,Cloudy,False,None,False,4.1,119
2024-02-19,Hostel B,Hostel,Clear,False,None,False,,140
2024-02-19,Spice Grill,Restaurant,Clear,False,None,False,4.2,207
2024-02-19,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,271
2024-02-20,Bistro 1,Restaurant,Clear,False,None,True,4.4,212
2024-02-20,Hostel B,Hostel,Light Rain,False,None,False,,148
2024-02-20,Spice Grill,Restaurant,Clear,False,None,False,3.9,223
2024-02-20,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,275
2024-02-21,Bistro 1,Restaurant,Heatwave,False,None,False,4.0,121
2024-02-21,Hostel B,Hostel,Light Rain,False,None,False,,136
2024-02-21,Spice Grill,Restaurant,Light Rain,False,None,False,3.8,185
2024-02-21,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,311
2024-02-22,Bistro 1,Restaurant,Cloudy,False,None,True,3.8,109
2024-02-22,Hostel B,Hostel,Cloudy,False,None,False,,150
2024-02-22,Spice Grill,Restaurant,Clear,False,None,True,3.9,228
2024-02-22,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,307
2024-02-23,Bistro 1,Restaurant,Clear,False,None,False,5.0,117
2024-02-23,Hostel B,Hostel,Cloudy,False,None,False,,136
2024-02-23,Spice Grill,Restaurant,Cloudy,False,None,True,4.1,203
2024-02-23,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,293
2024-02-24,Bistro 1,Restaurant,Light Rain,False,None,False,3.6,157
2024-02-24,Hostel B,Hostel,Cloudy,False,None,False,,157
2024-02-24,Spice Grill,Restaurant,Light Rain,False,None,False,4.0,236
2024-02-24,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,313
2024-02-25,Bistro 1,Restaurant,Clear,False,None,True,4.5,260
2024-02-25,Hostel B,Hostel,Light Rain,False,Local Festival,False,,28
2024-02-25,Spice Grill,Restaurant,Clear,False,None,True,4.2,445
2024-02-25,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,317
2024-02-26,Bistro 1,Restaurant,Clear,False,Sports Match,False,4.9,171
2024-02-26,Hostel B,Hostel,Clear,False,None,False,,164
2024-02-26,Spice Grill,Restaurant,Clear,False,None,False,4.2,186
2024-02-26,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,286
2024-02-27,Bistro 1,Restaurant,Clear,False,None,True,4.1,115
2024-02-27,Hostel B,Hostel,Clear,False,None,False,,146
2024-02-27,Spice Grill,Restaurant,Cloudy,False,None,True,4.2,276
2024-02-27,UEM Kolkata Hostel,Hostel,Cloudy,False,Local Festival,False,,97
2024-02-28,Bistro 1,Restaurant,Clear,False,Sports Match,True,4.7,237
2024-02-28,Hostel B,Hostel,Cloudy,False,None,False,,156
2024-02-28,Spice Grill,Restaurant,Clear,False,None,True,4.1,220
2024-02-28,UEM Kolkata Hostel,Hostel,Light Rain,False,None,False,,320
2024-02-29,Bistro 1,Restaurant,Clear,False,None,True,3.7,127
2024-02-29,Hostel B,Hostel,Clear,False,None,False,,137
2024-02-29,Spice Grill,Restaurant,Clear,False,None,True,4.7,295
2024-02-29,UEM Kolkata Hostel,Hostel,Heavy Rain,False,None,False,,343
2024-03-01,Bistro 1,Restaurant,Light Rain,False,None,False,4.6,126
2024-03-01,Hostel B,Hostel,Cloudy,False,None,False,,160
2024-03-01,Spice Grill,Restaurant,Light Rain,False,None,False,5.0,215
2024-03-01,UEM Kolkata Hostel,Hostel,Light Rain,False,Local Festival,False,,70
2024-03-02,Bistro 1,Restaurant,Clear,False,None,False,3.8,185
2024-03-02,Hostel B,Hostel,Heatwave,False,None,False,,151
2024-03-02,Spice Grill,Restaurant,Cloudy,False,Concert,False,4.8,394
2024-03-02,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,282
2024-03-03,Bistro 1,Restaurant,Clear,False,None,False,4.6,188
2024-03-03,Hostel B,Hostel,Cloudy,False,None,False,,152
2024-03-03,Spice Grill,Restaurant,Clear,False,None,True,4.0,293
2024-03-03,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,319
2024-03-04,Bistro 1,Restaurant,Clear,False,None,False,4.2,127
2024-03-04,Hostel B,Hostel,Clear,False,None,False,,138
2024-03-04,Spice Grill,Restaurant,Clear,False,None,False,3.6,197
2024-03-04,UEM Kolkata Hostel,Hostel,Light Rain,False,Local Festival,False,,72
2024-03-05,Bistro 1,Restaurant,Clear,False,None,True,4.0,122
2024-03-05,Hostel B,Hostel,Cloudy,False,Sports Match,False,,138
2024-03-05,Spice Grill,Restaurant,Cloudy,False,None,True,4.6,309
2024-03-05,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,322
2024-03-06,Bistro 1,Restaurant,Cloudy,False,Sports Match,False,4.5,169
2024-03-06,Hostel B,Hostel,Clear,False,None,False,,158
2024-03-06,Spice Grill,Restaurant,Cloudy,False,Local Festival,True,4.2,424
2024-03-06,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,323
2024-03-07,Bistro 1,Restaurant,Cloudy,False,None,True,4.5,204
2024-03-07,Hostel B,Hostel,Light Rain,False,None,False,,151
2024-03-07,Spice Grill,Restaurant,Clear,False,None,False,3.8,224
2024-03-07,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,271
2024-03-08,Bistro 1,Restaurant,Clear,False,Sports Match,True,4.2,286
2024-03-08,Hostel B,Hostel,Clear,False,None,False,,142
2024-03-08,Spice Grill,Restaurant,Heavy Rain,False,None,True,3.6,105
2024-03-08,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,304
2024-03-09,Bistro 1,Restaurant,Clear,False,None,False,4.5,147
2024-03-09,Hostel B,Hostel,Clear,False,Local Festival,False,,32
2024-03-09,Spice Grill,Restaurant,Heavy Rain,False,None,False,5.0,146
2024-03-09,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,272
2024-03-10,Bistro 1,Restaurant,Cloudy,False,None,False,4.1,142
2024-03-10,Hostel B,Hostel,Clear,False,None,False,,157
2024-03-10,Spice Grill,Restaurant,Light Rain,False,None,True,5.0,416
2024-03-10,UEM Kolkata Hostel,Hostel,Clear,False,Sports Match,False,,317
2024-03-11,Bistro 1,Restaurant,Cloudy,False,None,True,4.5,185
2024-03-11,Hostel B,Hostel,Clear,False,None,False,,140
2024-03-11,Spice Grill,Restaurant,Light Rain,False,Concert,False,3.9,241
2024-03-11,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,319
2024-03-12,Bistro 1,Restaurant,Clear,False,Sports Match,False,4.5,155
2024-03-12,Hostel B,Hostel,Clear,False,None,False,,141
2024-03-12,Spice Grill,Restaurant,Cloudy,False,None,False,3.6,197
2024-03-12,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,304
2024-03-13,Bistro 1,Restaurant,Clear,False,None,True,4.8,210
2024-03-13,Hostel B,Hostel,Clear,False,None,False,,161
2024-03-13,Spice Grill,Restaurant,Clear,False,None,False,4.5,206
2024-03-13,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,298
2024-03-14,Bistro 1,Restaurant,Light Rain,False,None,True,4.6,169
2024-03-14,Hostel B,Hostel,Clear,False,None,False,,145
2024-03-14,Spice Grill,Restaurant,Clear,False,None,True,4.4,281
2024-03-14,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,310
2024-03-15,Bistro 1,Restaurant,Clear,False,None,False,3.8,134
2024-03-15,Hostel B,Hostel,Heavy Rain,False,None,False,,165
2024-03-15,Spice Grill,Restaurant,Cloudy,False,None,True,4.8,267
2024-03-15,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,311
2024-03-16,Bistro 1,Restaurant,Cloudy,False,Local Festival,True,4.5,312
2024-03-16,Hostel B,Hostel,Cloudy,False,None,False,,140
2024-03-16,Spice Grill,Restaurant,Clear,False,None,False,3.6,326
2024-03-16,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,287
2024-03-17,Bistro 1,Restaurant,Heatwave,False,None,True,4.8,254
2024-03-17,Hostel B,Hostel,Clear,False,None,False,,140
2024-03-17,Spice Grill,Restaurant,Clear,False,None,False,4.0,248
2024-03-17,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,271
2024-03-18,Bistro 1,Restaurant,Clear,False,Concert,False,3.9,192
2024-03-18,Hostel B,Hostel,Heatwave,False,None,False,,141
2024-03-18,Spice Grill,Restaurant,Clear,False,None,False,4.2,230
2024-03-18,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,297
2024-03-19,Bistro 1,Restaurant,Light Rain,False,Local Festival,True,4.0,167
2024-03-19,Hostel B,Hostel,Cloudy,False,None,False,,148
2024-03-19,Spice Grill,Restaurant,Clear,False,None,False,5.0,185
2024-03-19,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,293
2024-03-20,Bistro 1,Restaurant,Clear,False,None,True,4.6,200
2024-03-20,Hostel B,Hostel,Clear,False,None,False,,146
2024-03-20,Spice Grill,Restaurant,Clear,False,None,True,3.7,213
2024-03-20,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,292
2024-03-21,Bistro 1,Restaurant,Light Rain,False,None,True,4.2,153
2024-03-21,Hostel B,Hostel,Cloudy,False,Sports Match,False,,139
2024-03-21,Spice Grill,Restaurant,Clear,False,None,False,4.9,196
2024-03-21,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,288
2024-03-22,Bistro 1,Restaurant,Clear,False,None,True,3.6,123
2024-03-22,Hostel B,Hostel,Clear,False,None,False,,144
2024-03-22,Spice Grill,Restaurant,Cloudy,False,None,False,3.9,217
2024-03-22,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,283
2024-03-23,Bistro 1,Restaurant,Cloudy,False,None,False,3.8,147
2024-03-23,Hostel B,Hostel,Clear,False,None,False,,157
2024-03-23,Spice Grill,Restaurant,Heatwave,False,None,True,4.4,414
2024-03-23,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,294
2024-03-24,Bistro 1,Restaurant,Clear,False,Sports Match,True,4.0,242
2024-03-24,Hostel B,Hostel,Clear,False,None,False,,159
2024-03-24,Spice Grill,Restaurant,Clear,False,Local Festival,True,3.8,435
2024-03-24,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,285
2024-03-25,Bistro 1,Restaurant,Clear,False,None,True,4.6,176
2024-03-25,Hostel B,Hostel,Light Rain,False,None,False,,136
2024-03-25,Spice Grill,Restaurant,Clear,False,None,True,5.0,285
2024-03-25,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,284
2024-03-26,Bistro 1,Restaurant,Clear,False,None,False,4.9,120
2024-03-26,Hostel B,Hostel,Cloudy,False,None,False,,146
2024-03-26,Spice Grill,Restaurant,Cloudy,False,None,False,3.9,187
2024-03-26,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,296
2024-03-27,Bistro 1,Restaurant,Heatwave,False,None,False,4.3,127
2024-03-27,Hostel B,Hostel,Heatwave,False,None,False,,156
2024-03-27,Spice Grill,Restaurant,Heatwave,False,Sports Match,True,4.9,424
2024-03-27,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,312
2024-03-28,Bistro 1,Restaurant,Clear,False,None,False,3.7,112
2024-03-28,Hostel B,Hostel,Clear,False,None,False,,149
2024-03-28,Spice Grill,Restaurant,Light Rain,False,None,False,4.6,187
2024-03-28,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,326
2024-03-29,Bistro 1,Restaurant,Clear,False,None,False,4.7,122
2024-03-29,Hostel B,Hostel,Heatwave,False,Concert,False,,147
2024-03-29,Spice Grill,Restaurant,Heavy Rain,False,None,True,4.9,166
2024-03-29,UEM Kolkata Hostel,Hostel,Cloudy,False,None,False,,273
2024-03-30,Bistro 1,Restaurant,Heatwave,False,None,True,4.3,253
2024-03-30,Hostel B,Hostel,Cloudy,False,None,False,,148
2024-03-30,Spice Grill,Restaurant,Clear,False,Local Festival,True,4.6,438
2024-03-30,UEM Kolkata Hostel,Hostel,Heatwave,False,None,False,,304
2024-03-31,Bistro 1,Restaurant,Clear,False,None,False,4.3,142
2024-03-31,Hostel B,Hostel,Cloudy,False,None,False,,160
2024-03-31,Spice Grill,Restaurant,Clear,False,None,False,4.4,253
2024-03-31,UEM Kolkata Hostel,Hostel,Clear,False,None,False,,312
2024-04-01,Bistro 1,Restaurant,Light Rain,False,None,False,3.5,118
2024-04-01,Hostel B,Hostel,Clear,True,None,False,,118
2024-04-01,Spice Grill,Restaurant,Clear,False,Local Festival,False,3.7,315
2024-04-01,UEM Kolkata Hostel,Hostel,Heatwave,True,Local Festival,False,,88
2024-04-02,Bistro 1,Restaurant,Cloudy,False,None,True,4.6,178
2024-04-02,Hostel B,Hostel,Clear,True,None,False,,116
2024-04-02,Spice Grill,Restaurant,Cloudy,False,None,True,4.4,315
2024-04-02,UEM Kolkata Hostel,Hostel,Clear,True,None,False,,215
2024-04-03,Bistro 1,Restaurant,Cloudy,False,None,False,4.6,108
2024-04-03,Hostel B,Hostel,Light Rain,True,None,False,,128
2024-04-03,Spice Grill,Restaurant,Clear,False,None,True,3.5,207
2024-04-03,UEM Kolkata Hostel,Hostel,Light Rain,True,None,False,,200
